venuelock-26-02-2016-14:55:12.txt, Scan 1, null, SSID: Workable, BSSID: 84:d4:7e:df:63:d0, HESSID: <none>, capabilities: [WPA2-PSK-CCMP][ESS], level: -88, frequency: 5540, timestamp: 102111786592, distance: ?(cm), distanceSd: ?(cm)
venuelock-26-02-2016-14:55:12.txt, Scan 1, null, SSID: hpsetup, BSSID: 66:2a:2f:53:7c:99, HESSID: <none>, capabilities: [IBSS], level: -65, frequency: 2462, timestamp: 102111786380, distance: ?(cm), distanceSd: ?(cm)
venuelock-26-02-2016-14:55:12.txt, Scan 1, null, SSID: SkyFi-Corp, BSSID: e0:1c:41:3b:a7:a9, HESSID: <none>, capabilities: [WPA2-PSK-CCMP][ESS], level: -74, frequency: 5825, timestamp: 102111786698, distance: ?(cm), distanceSd: ?(cm)
venuelock-26-02-2016-14:55:12.txt, Scan 1, null, SSID: SkyFi-Guest, BSSID: e0:1c:41:3b:a7:a8, HESSID: <none>, capabilities: [WPA2-PSK-CCMP][ESS], level: -74, frequency: 5825, timestamp: 102111786683, distance: ?(cm), distanceSd: ?(cm)
venuelock-26-02-2016-14:55:12.txt, Scan 1, null, SSID: SkyFi-Guest, BSSID: e0:1c:41:3b:df:14, HESSID: <none>, capabilities: [WPA2-PSK-CCMP][ESS], level: -83, frequency: 2437, timestamp: 102111786329, distance: ?(cm), distanceSd: ?(cm)
venuelock-26-02-2016-14:55:12.txt, Scan 1, null, SSID: SkyFi-Corp, BSSID: e0:1c:41:3b:a7:95, HESSID: <none>, capabilities: [WPA2-PSK-CCMP][ESS], level: -62, frequency: 2462, timestamp: 102111786409, distance: ?(cm), distanceSd: ?(cm)
venuelock-26-02-2016-14:55:12.txt, Scan 1, null, SSID: BH_Visitor, BSSID: 74:26:ac:cf:86:e2, HESSID: <none>, capabilities: [WPA2-PSK-CCMP-preauth][ESS], level: -74, frequency: 2437, timestamp: 102111786349, distance: ?(cm), distanceSd: ?(cm)
venuelock-26-02-2016-14:55:12.txt, Scan 1, null, SSID: SkyFi-Corp, BSSID: e0:1c:41:3b:dc:e9, HESSID: <none>, capabilities: [WPA2-PSK-CCMP][ESS], level: -74, frequency: 5825, timestamp: 102111786724, distance: ?(cm), distanceSd: ?(cm)
venuelock-26-02-2016-14:55:12.txt, Scan 1, null, SSID: SkyFi-Guest, BSSID: e0:1c:41:3b:dc:e8, HESSID: <none>, capabilities: [WPA2-PSK-CCMP][ESS], level: -74, frequency: 5825, timestamp: 102111786711, distance: ?(cm), distanceSd: ?(cm)
venuelock-26-02-2016-14:55:12.txt, Scan 1, null, SSID: bh_peap, BSSID: 74:26:ac:cf:78:01, HESSID: <none>, capabilities: [WPA2-EAP-CCMP-preauth][ESS], level: -74, frequency: 2462, timestamp: 102111786452, distance: ?(cm), distanceSd: ?(cm)
venuelock-26-02-2016-14:55:12.txt, Scan 1, null, SSID: WorkableGuest, BSSID: 84:d4:7e:df:63:d1, HESSID: <none>, capabilities: [ESS], level: -88, frequency: 5540, timestamp: 102111786604, distance: ?(cm), distanceSd: ?(cm)
venuelock-26-02-2016-14:55:12.txt, Scan 1, null, SSID: BH_Visitor, BSSID: 74:26:ac:cf:78:02, HESSID: <none>, capabilities: [WPA2-PSK-CCMP-preauth][ESS], level: -74, frequency: 2462, timestamp: 102111786433, distance: ?(cm), distanceSd: ?(cm)
venuelock-26-02-2016-14:55:12.txt, Scan 1, null, SSID: , BSSID: 74:26:ac:ce:06:af, HESSID: <none>, capabilities: [WPA2-PSK-CCMP-preauth][ESS], level: -88, frequency: 5785, timestamp: 102111786653, distance: ?(cm), distanceSd: ?(cm)
venuelock-26-02-2016-14:55:12.txt, Scan 1, null, SSID: BH_Visitor, BSSID: 74:26:ac:ce:06:ad, HESSID: <none>, capabilities: [WPA2-PSK-CCMP-preauth][ESS], level: -91, frequency: 5785, timestamp: 102111786669, distance: ?(cm), distanceSd: ?(cm)
venuelock-26-02-2016-14:55:12.txt, Scan 1, null, SSID: WLAN-GLOBAL, BSSID: 00:23:04:2f:82:f0, HESSID: <none>, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 2412, timestamp: 102111786258, distance: ?(cm), distanceSd: ?(cm)
venuelock-26-02-2016-14:55:12.txt, Scan 1, null, SSID: bh_peap, BSSID: 74:26:ac:cf:86:e1, HESSID: <none>, capabilities: [WPA2-EAP-CCMP-preauth][ESS], level: -74, frequency: 2437, timestamp: 102111786367, distance: ?(cm), distanceSd: ?(cm)
venuelock-26-02-2016-14:55:12.txt, Scan 1, null, SSID: , BSSID: 74:26:ac:bf:13:6f, HESSID: <none>, capabilities: [WPA2-PSK-CCMP-preauth][ESS], level: -86, frequency: 5300, timestamp: 102111786553, distance: ?(cm), distanceSd: ?(cm)
venuelock-26-02-2016-14:55:12.txt, Scan 1, null, CellInfoLte:{mRegistered=YES mTimeStampType=oem_ril mTimeStamp=101656469122762ns CellIdentityLte:{ mMcc=310 mMnc=410 mCi=16968969 mPci=27 mTac=1042} CellSignalStrengthLte: ss=0 rsrp=77 rsrq=-8 rssnr=12 cqi=12 ta=3}
venuelock-26-02-2016-14:55:12.txt, Scan 2, null, SSID: SkyFi-Corp, BSSID: e0:1c:41:3b:d5:29, HESSID: <none>, capabilities: [WPA2-PSK-CCMP][ESS], level: -70, frequency: 5200, timestamp: 102111786518, distance: ?(cm), distanceSd: ?(cm)
