venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: SkyFi-Guest, BSSID: e0:1c:41:3b:a7:94, HESSID: <none>, capabilities: [WPA2-PSK-CCMP][ESS], level: -61, frequency: 2462, timestamp: 8947870276, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: BH_Visitor, BSSID: 74:26:ac:bf:13:6d, HESSID: <none>, capabilities: [WPA2-PSK-CCMP-preauth][ESS], level: -87, frequency: 5300, timestamp: 8947870331, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: BH_Visitor, BSSID: 74:26:ac:cf:78:02, HESSID: <none>, capabilities: [WPA2-PSK-CCMP-preauth][ESS], level: -65, frequency: 2462, timestamp: 8947870269, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: WorkableTV, BSSID: 84:d4:7e:df:67:b2, HESSID: <none>, capabilities: [WPA2-PSK-CCMP][ESS], level: -89, frequency: 5540, timestamp: 8947870353, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: SkyFi-Corp, BSSID: e0:1c:41:3b:dc:d5, HESSID: <none>, capabilities: [WPA2-PSK-CCMP][ESS], level: -72, frequency: 2437, timestamp: 8942551685, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: SkyFi-Corp, BSSID: e0:1c:41:3b:df:15, HESSID: <none>, capabilities: [WPA2-PSK-CCMP][ESS], level: -59, frequency: 2437, timestamp: 8947870243, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: bh_peap, BSSID: 74:26:ac:ce:16:51, HESSID: <none>, capabilities: [WPA2-EAP-CCMP-preauth][ESS], level: -78, frequency: 2437, timestamp: 8947870247, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: hpsetup, BSSID: 66:2a:2f:53:7c:99, HESSID: <none>, capabilities: [IBSS], level: -61, frequency: 2462, timestamp: 8947870283, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: bh_peap, BSSID: 74:26:ac:cf:86:e1, HESSID: <none>, capabilities: [WPA2-EAP-CCMP-preauth][ESS], level: -74, frequency: 2437, timestamp: 8947870256, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: , BSSID: 74:26:ac:cf:86:e0, HESSID: <none>, capabilities: [WPA2-PSK-CCMP-preauth][ESS], level: -73, frequency: 2437, timestamp: 8942551695, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: BH_Visitor, BSSID: 74:26:ac:cf:86:e2, HESSID: <none>, capabilities: [WPA2-PSK-CCMP-preauth][ESS], level: -73, frequency: 2437, timestamp: 8947870260, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: SkyFi-Guest, BSSID: e0:1c:41:3b:dc:d4, HESSID: <none>, capabilities: [WPA2-PSK-CCMP][ESS], level: -70, frequency: 2437, timestamp: 8947870252, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: , BSSID: 74:26:ac:ce:16:5f, HESSID: <none>, capabilities: [WPA2-PSK-CCMP-preauth][ESS], level: -80, frequency: 5180, timestamp: 8947870303, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: WLAN-GLOBAL, BSSID: 00:19:07:c5:be:00, HESSID: <none>, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2412, timestamp: 8942551637, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: SkyFi-Corp, BSSID: e0:1c:41:3b:94:29, HESSID: <none>, capabilities: [WPA2-PSK-CCMP][ESS], level: -93, frequency: 5805, timestamp: 8947870381, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: WLAN-GUEST, BSSID: 00:19:07:c5:be:01, HESSID: <none>, capabilities: [ESS], level: -82, frequency: 2412, timestamp: 8947870205, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: BH_Visitor, BSSID: 74:26:ac:ce:06:ad, HESSID: <none>, capabilities: [WPA2-PSK-CCMP-preauth][ESS], level: -85, frequency: 5785, timestamp: 8947870358, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: WLAN-GLOBAL, BSSID: 00:23:04:2f:82:f0, HESSID: <none>, capabilities: [WPA2-EAP-CCMP][ESS], level: -81, frequency: 2412, timestamp: 8947870226, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: bh_peap, BSSID: 74:26:ac:ce:06:ae, HESSID: <none>, capabilities: [WPA2-EAP-CCMP-preauth][ESS], level: -87, frequency: 5785, timestamp: 8947870362, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: , BSSID: 74:26:ac:bf:13:6f, HESSID: <none>, capabilities: [WPA2-PSK-CCMP-preauth][ESS], level: -88, frequency: 5300, timestamp: 8947870327, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: SkyFi-Guest, BSSID: e0:1c:41:3b:94:28, HESSID: <none>, capabilities: [WPA2-PSK-CCMP][ESS], level: -92, frequency: 5805, timestamp: 8947870371, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: InfGuest, BSSID: 50:60:28:2b:aa:f0, HESSID: <none>, capabilities: [WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS], level: -93, frequency: 5300, timestamp: 8947870336, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, SSID: HP-Print-CD-LaserJet 1102, BSSID: b8:76:3f:8c:88:cd, HESSID: <none>, capabilities: [ESS], level: -60, frequency: 2462, timestamp: 8947870263, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 1, null, CellInfoLte:{mRegistered=YES mTimeStampType=oem_ril mTimeStamp=8934013291882ns CellIdentityLte:{ mMcc=310 mMnc=410 mCi=16968969 mPci=27 mTac=1042} CellSignalStrengthLte: ss=0 rsrp=76 rsrq=-9 rssnr=0 cqi=7 ta=3}
venuelock-25-02-2016-13:02:29.txt, Scan 2, null, SSID: SkyFi-Corp, BSSID: e0:1c:41:3b:d5:15, HESSID: <none>, capabilities: [WPA2-PSK-CCMP][ESS], level: -52, frequency: 2462, timestamp: 8947870231, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 2, null, SSID: bh_peap, BSSID: 74:26:ac:cf:78:0e, HESSID: <none>, capabilities: [WPA2-EAP-CCMP-preauth][ESS], level: -68, frequency: 5180, timestamp: 8947870295, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 2, null, SSID: BH_Visitor, BSSID: 74:26:ac:cf:78:0d, HESSID: <none>, capabilities: [WPA2-PSK-CCMP-preauth][ESS], level: -68, frequency: 5180, timestamp: 8947870288, distance: ?(cm), distanceSd: ?(cm)
venuelock-25-02-2016-13:02:29.txt, Scan 2, null, SSID: SkyFi-Corp, BSSID: e0:1c:41:3b:d5:29, HESSID: <none>, capabilities: [WPA2-PSK-CCMP][ESS], level: -72, frequency: 5200, timestamp: 8947870313, distance: ?(cm), distanceSd: ?(cm)
