Ground Truth Set: lat/lng: (42.30160006564681,-71.38359691947699)
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Homenet, BSSID: 6c:f3:7f:53:be:74, capabilities: [WPA2-PSK-CCMP][ESS], level: -72, frequency: 5180, timestamp: 349570610732, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Microsoft_Surface, BSSID: 6c:f3:7f:53:be:78, capabilities: [WPA2-PSK-CCMP][ESS], level: -72, frequency: 5180, timestamp: 349570610743, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: .FreeWiFi-Natick Mall, BSSID: ac:a3:1e:9b:04:b3, capabilities: [ESS], level: -84, frequency: 5805, timestamp: 349570610865, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5785, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Microsoft Store, BSSID: 6c:f3:7f:53:bd:71, capabilities: [ESS], level: -69, frequency: 5180, timestamp: 349555572627, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Store_LOB, BSSID: 6c:f3:7f:53:be:76, capabilities: [WPA-EAP-TKIP][WPA2-EAP-CCMP][ESS], level: -72, frequency: 5180, timestamp: 349570610739, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Mobile_LOB, BSSID: 6c:f3:7f:53:be:73, capabilities: [WPA2-PSK-CCMP][ESS], level: -72, frequency: 5180, timestamp: 349570610729, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: SECA, BSSID: 6c:f3:7f:53:be:75, capabilities: [WPA-EAP-TKIP][WPA2-EAP-CCMP][ESS], level: -72, frequency: 5180, timestamp: 349570610736, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Microsoft Store, BSSID: 6c:f3:7f:53:be:71, capabilities: [ESS], level: -73, frequency: 5180, timestamp: 349555572773, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Microsoft Store, BSSID: 6c:f3:7f:53:7a:b1, capabilities: [ESS], level: -64, frequency: 5785, timestamp: 349570610840, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5805, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: .FreeWiFi-Natick Mall, BSSID: 6c:f3:7f:2f:94:e3, capabilities: [ESS], level: -65, frequency: 2437, timestamp: 349570610671, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: ipadwifi, BSSID: 84:24:8d:1c:91:c1, capabilities: [WPA2-PSK-CCMP][ESS], level: -75, frequency: 5180, timestamp: 349570610708, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5200, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: wsmpos, BSSID: 5c:0e:8b:63:6f:30, capabilities: [WPA-EAP-TKIP][WPA2-EAP-CCMP+TKIP][ESS], level: -86, frequency: 5220, timestamp: 349570610781, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5240, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: wlanws02, BSSID: 5c:0e:8b:63:6f:33, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -87, frequency: 5220, timestamp: 349570610777, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5240, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: Cell-kiosk-5, BSSID: 74:85:2a:55:c1:c8, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -78, frequency: 5200, timestamp: 349570610759, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5180, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: , BSSID: 6c:f3:7f:2f:94:e2, capabilities: [ESS], level: -62, frequency: 2437, timestamp: 349570610664, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: .FreeWiFi-Natick Mall, BSSID: 6c:f3:7f:2f:9e:4b, capabilities: [ESS], level: -76, frequency: 5765, timestamp: 349570610811, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: xfinitywifi, BSSID: 74:85:2a:55:c1:ca, capabilities: [ESS], level: -78, frequency: 5200, timestamp: 349570610762, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5180, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-apple-14-02-2016-13:34:20.txt, Scan 1, Nearby, SSID: .FreeWiFi-Natick Mall, BSSID: 6c:f3:7f:2f:9c:7b, capabilities: [ESS], level: -76, frequency: 5240, timestamp: 349570610792, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
