Ground Truth Set: lat/lng: (42.30246102669409,-71.38341084122658)
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: SpanxRetail, BSSID: e0:1c:41:b4:c0:a8, capabilities: [WPA2-EAP-CCMP][ESS], level: -86, frequency: 5220, timestamp: 348666504339, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5240, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: uniT5, BSSID: d8:97:ba:c9:e9:88, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS], level: -78, frequency: 5240, timestamp: 348666504370, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5220, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: 1809fx, BSSID: 9c:1c:12:e8:2a:24, capabilities: [WPA-EAP-CCMP+TKIP][WPA2-EAP-CCMP+TKIP][ESS], level: -69, frequency: 2462, timestamp: 348666504232, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: , BSSID: 6c:f3:7f:2f:a0:32, capabilities: [ESS], level: -83, frequency: 2412, timestamp: 348666504167, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: .FreeWiFi-Natick Mall, BSSID: 6c:f3:7f:2f:9e:4b, capabilities: [ESS], level: -66, frequency: 5765, timestamp: 348666504408, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: HP-nomodel.A75C73, BSSID: 02:2b:4b:71:f1:6f, capabilities: [IBSS], level: -76, frequency: 2437, timestamp: 348651505422, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: .FreeWiFi-Natick Mall, BSSID: 6c:f3:7f:2e:00:db, capabilities: [ESS], level: -68, frequency: 5220, timestamp: 348666504335, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: Nordstrom_Wi-Fi, BSSID: 00:24:6c:0d:a3:3a, capabilities: [ESS], level: -78, frequency: 5200, timestamp: 348666504308, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5180, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: xfinitywifi, BSSID: 20:25:64:6c:9b:1a, capabilities: [ESS], level: -83, frequency: 5240, timestamp: 348666504382, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5220, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: .FreeWiFi-Natick Mall, BSSID: 6c:f3:7f:2f:9e:43, capabilities: [ESS], level: -56, frequency: 2437, timestamp: 348666504186, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: .FreeWiFi-Natick Mall, BSSID: 6c:f3:7f:2f:a1:4b, capabilities: [ESS], level: -75, frequency: 5785, timestamp: 348666504416, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: FREEPEOPLE_GUEST_WIFI, BSSID: 9c:1c:12:e8:2a:35, capabilities: [ESS], level: -88, frequency: 5805, timestamp: 348666504464, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5785, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-db-natickmall-nordstrom-14-02-2016-13:19:23.txt, Scan 1, null, SSID: PELOTON-GUEST, BSSID: 24:a4:3c:10:a6:d1, capabilities: [ESS], level: -85, frequency: 5745, timestamp: 348666504401, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5765, centerFreq1: 0, 80211mcResponder: is not supported
