venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: SAP-Internet, BSSID: 18:64:72:11:87:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -73, frequency: 5180, timestamp: 184870550006, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: SAP-Corporate, BSSID: 18:64:72:11:87:30, capabilities: [WPA2-EAP-CCMP][ESS], level: -79, frequency: 5220, timestamp: 184870550017, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: SAP-Internet, BSSID: 18:64:72:11:5a:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 5825, timestamp: 184870550086, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: SAP-Corporate, BSSID: 18:64:72:11:5a:b0, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 5825, timestamp: 184870550082, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: PGRMEDIA, BSSID: 04:18:d6:22:46:07, capabilities: [WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS], level: -75, frequency: 2437, timestamp: 184854590191, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: BH_Visitor, BSSID: 74:26:ac:ce:18:2d, capabilities: [WPA2-PSK-CCMP-preauth][ESS], level: -88, frequency: 5745, timestamp: 184870550034, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: SAP-Corporate, BSSID: 18:64:72:11:5b:30, capabilities: [WPA2-EAP-CCMP][ESS], level: -87, frequency: 5785, timestamp: 184870550056, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: SAP-Internet, BSSID: 18:64:72:11:5b:32, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 5785, timestamp: 184854590641, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: XFINITY, BSSID: 00:0d:67:27:72:13, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 5745, timestamp: 184854590504, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock--24-02-2016-16:39:57.txt, Scan 1, null, SSID: bh_peap, BSSID: 74:26:ac:ce:17:ee, capabilities: [WPA2-EAP-CCMP-preauth][ESS], level: -84, frequency: 5765, timestamp: 184854590596, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
