venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: Guest, BSSID: 08:ea:44:6a:ce:a8, capabilities: [WPA2-PSK-TKIP][ESS], level: -81, frequency: 5785, timestamp: 184448215281, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: Consigli, BSSID: 08:ea:44:6a:ce:95, capabilities: [WPA2-PSK-CCMP][ESS], level: -75, frequency: 2412, timestamp: 184448215216, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: marcopolo-freewifi-2.4GHz, BSSID: 20:25:64:f5:ce:40, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS], level: -70, frequency: 2437, timestamp: 184463206578, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: ConsigliMobile, BSSID: 08:ea:44:6a:ce:96, capabilities: [WPA2-PSK-CCMP][ESS], level: -78, frequency: 2412, timestamp: 184448215218, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: AV, BSSID: c0:ea:e4:66:e7:17, capabilities: [WPA2-PSK-CCMP+TKIP][ESS], level: -78, frequency: 2422, timestamp: 184448215221, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: ConsigliMobile, BSSID: 08:ea:44:6a:ce:aa, capabilities: [WPA2-PSK-CCMP][ESS], level: -82, frequency: 5785, timestamp: 184448215286, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: Consigli, BSSID: 08:ea:44:6a:ce:a9, capabilities: [WPA2-PSK-CCMP][ESS], level: -82, frequency: 5785, timestamp: 184448215283, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: imguests, BSSID: a4:56:30:e9:d9:2e, capabilities: [WPA2-PSK-CCMP][ESS], level: -84, frequency: 5745, timestamp: 184448215263, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 0, centerFreq0: 0, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: imguests, BSSID: 02:18:5a:8f:b6:51, capabilities: [WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS], level: -82, frequency: 5745, timestamp: 184463206670, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5765, centerFreq1: 0, 80211mcResponder: is not supported
venuelock-dunkin2-24-02-2016-16:32:56.txt, Scan 1, null, SSID: LearnLaunchGuest, BSSID: 1a:18:1a:27:cd:98, capabilities: [WPA2-PSK-CCMP][ESS], level: -84, frequency: 5745, timestamp: 184448215268, distance: ?(cm), distanceSd: ?(cm), passpoint: no, ChannelBandwidth: 1, centerFreq0: 5765, centerFreq1: 0, 80211mcResponder: is not supported
